id,tstamp,windspeed-2,windspeed-1,windspeed0,solarflux-2,solarflux-1,solarflux0
935.0,965908800,8.05297,7.6685,7.35393,16.9872,13.3686,10.1771
936.0,965909700,7.6685,7.35393,7.10926,13.3686,10.1771,7.4129
937.0,965910600,7.35393,7.10926,6.9345,10.1771,7.4129,5.07588
938.0,965911500,7.10926,6.9345,7.03936,7.4129,5.07588,3.33105
939.0,965912400,6.9345,7.03936,7.07431,5.07588,3.33105,1.90346
940.0,965913300,7.03936,7.07431,7.03936,3.33105,1.90346,0.79311
941.0,965914200,7.07431,7.03936,6.9345,1.90346,0.79311,0.0
942.0,965915100,7.03936,6.9345,6.44517,0.79311,0.0,0.0
943.0,965916000,6.9345,6.44517,6.09565,0.0,0.0,0.0
944.0,965916900,6.44517,6.09565,5.88594,0.0,0.0,0.0
945.0,965917800,6.09565,5.88594,5.81603,0.0,0.0,0.0
946.0,965918700,5.88594,5.81603,6.53605,0.0,0.0,0.0
947.0,965919600,5.81603,6.53605,6.96246,0.0,0.0,0.0
948.0,965920500,6.53605,6.96246,7.09528,0.0,0.0,0.0
949.0,965921400,6.96246,7.09528,6.9345,0.0,0.0,0.0
950.0,965922300,7.09528,6.9345,5.4735,0.0,0.0,0.0
951.0,965923200,6.9345,5.4735,4.38999,0.0,0.0,0.0
952.0,965924100,5.4735,4.38999,3.68395,0.0,0.0,0.0
953.0,965925000,4.38999,3.68395,3.3554,0.0,0.0,0.0
954.0,965925900,3.68395,3.3554,4.3061,0.0,0.0,0.0
955.0,965926800,3.3554,4.3061,5.03311,0.0,0.0,0.0
956.0,965927700,4.3061,5.03311,5.53642,0.0,0.0,0.0
957.0,965928600,5.03311,5.53642,5.81603,0.0,0.0,0.0
958.0,965929500,5.53642,5.81603,5.87196,0.0,0.0,0.0
959.0,965930400,5.81603,5.87196,5.70419,0.0,0.0,0.0
960.0,965931300,5.87196,5.70419,5.31272,0.0,0.0,0.0
961.0,965932200,5.70419,5.31272,4.69757,0.0,0.0,0.0
962.0,965933100,5.31272,4.69757,2.76821,0.0,0.0,0.0
963.0,965934000,4.69757,2.76821,1.34216,0.0,0.0,0.0
964.0,965934900,2.76821,1.34216,0.41943,0.0,0.0,0.0
965.0,965935800,1.34216,0.41943,0.0,0.0,0.0,0.0
966.0,965936700,0.41943,0.0,0.92274,0.0,0.0,0.0
967.0,965937600,0.0,0.92274,1.78955,0.0,0.0,0.0
968.0,965938500,0.92274,1.78955,2.60044,0.0,0.0,0.0
969.0,965939400,1.78955,2.60044,3.3554,0.0,0.0,0.0
970.0,965940300,2.60044,3.3554,4.20125,0.0,0.0,0.0
971.0,965941200,3.3554,4.20125,4.8933,0.0,0.0,0.0
972.0,965942100,4.20125,4.8933,5.43156,0.0,0.0,0.0
973.0,965943000,4.8933,5.43156,5.81603,0.0,0.0,0.0
974.0,965943900,5.43156,5.81603,5.60632,0.0,0.0,0.0
975.0,965944800,5.81603,5.60632,5.53642,0.0,0.0,0.0
976.0,965945700,5.60632,5.53642,5.60632,0.0,0.0,0.0
977.0,965946600,5.53642,5.60632,5.81603,0.0,0.0,0.0
978.0,965947500,5.60632,5.81603,6.79469,0.0,0.0,0.05413
979.0,965948400,5.81603,6.79469,7.49374,0.0,0.05413,0.63589
980.0,965949300,6.79469,7.49374,7.91316,0.05413,0.63589,1.74527
981.0,965950200,7.49374,7.91316,8.05297,0.63589,1.74527,3.38228
982.0,965951100,7.91316,8.05297,7.28402,1.74527,3.38228,5.52907
983.0,965952000,8.05297,7.28402,6.65489,3.38228,5.52907,8.21538
984.0,965952900,7.28402,6.65489,6.16556,5.52907,8.21538,11.4412
985.0,965953800,6.65489,6.16556,5.81603,8.21538,11.4412,15.2065
986.0,965954700,6.16556,5.81603,5.92089,11.4412,15.2065,20.7808
987.0,965955600,5.81603,5.92089,5.95584,15.2065,20.7808,26.0483
988.0,965956500,5.92089,5.95584,5.92089,20.7808,26.0483,31.009
989.0,965957400,5.95584,5.92089,5.81603,26.0483,31.009,35.663
990.0,965958300,5.92089,5.81603,5.11699,31.009,35.663,39.8171
991.0,965959200,5.81603,5.11699,4.69757,35.663,39.8171,43.7932
992.0,965960100,5.11699,4.69757,4.55776,39.8171,43.7932,47.591
993.0,965961000,4.69757,4.55776,4.69757,43.7932,47.591,51.2106
994.0,965961900,4.55776,4.69757,5.95584,47.591,51.2106,54.8416
995.0,965962800,4.69757,5.95584,6.9345,51.2106,54.8416,58.168
996.0,965963700,5.95584,6.9345,7.63355,54.8416,58.168,61.1899
997.0,965964600,6.9345,7.63355,8.05297,58.168,61.1899,63.9074
998.0,965965500,7.63355,8.05297,7.45878,61.1899,63.9074,66.1616
999.0,965966400,8.05297,7.45878,7.07431,63.9074,66.1616,68.2172
1000.0,965967300,7.45878,7.07431,6.89955,66.1616,68.2172,70.0742
1001.0,965968200,7.07431,6.89955,6.9345,68.2172,70.0742,71.7326
1002.0,965969100,6.89955,6.9345,7.59859,70.0742,71.7326,73.0883
1003.0,965970000,6.9345,7.59859,8.19278,71.7326,73.0883,74.3148
1004.0,965970900,7.59859,8.19278,8.71706,73.0883,74.3148,75.4121
1005.0,965971800,8.19278,8.71706,9.17144,74.3148,75.4121,76.3801
1006.0,965972700,8.71706,9.17144,9.43008,75.4121,76.3801,77.7144
1007.0,965973600,9.17144,9.43008,9.70271,76.3801,77.7144,78.5891
1008.0,965974500,9.43008,9.70271,9.98932,77.7144,78.5891,79.0044
1009.0,965975400,9.70271,9.98932,10.2899,78.5891,79.0044,78.9602
1010.0,965976300,9.98932,10.2899,10.7513,79.0044,78.9602,78.2114
1011.0,965977200,10.2899,10.7513,11.1288,78.9602,78.2114,77.1666
1012.0,965978100,10.7513,11.1288,11.4224,78.2114,77.1666,75.8257
1013.0,965979000,11.1288,11.4224,11.6321,77.1666,75.8257,74.1889
1014.0,965979900,11.4224,11.6321,11.8628,75.8257,74.1889,72.2263
1015.0,965980800,11.6321,11.8628,11.9396,74.1889,72.2263,69.9875
1016.0,965981700,11.8628,11.9396,11.8628,72.2263,69.9875,67.4725
1017.0,965982600,11.9396,11.8628,11.6321,69.9875,67.4725,64.6813
1018.0,965983500,11.8628,11.6321,10.7862,67.4725,64.6813,61.3606
1019.0,965984400,11.6321,10.7862,10.0942,64.6813,61.3606,57.9326
1020.0,965985300,10.7862,10.0942,9.55591,61.3606,57.9326,54.3974
1021.0,965986200,10.0942,9.55591,9.17144,57.9326,54.3974,50.7549
1022.0,965987100,9.55591,9.17144,9.06658,54.3974,50.7549,46.9371
1023.0,965988000,9.17144,9.06658,9.03163,50.7549,46.9371,43.0575
1024.0,965988900,9.06658,9.03163,9.06658,46.9371,43.0575,39.116
1025.0,965989800,9.03163,9.06658,9.17144,43.0575,39.116,35.1127
1026.0,965990700,9.06658,9.17144,9.55591,39.116,35.1127,30.5759
1027.0,965991600,9.17144,9.55591,9.87048,35.1127,30.5759,26.2916
1028.0,965992500,9.55591,9.87048,10.1151,30.5759,26.2916,22.2599
1029.0,965993400,9.87048,10.1151,10.2899,26.2916,22.2599,18.4808
1030.0,965994300,10.1151,10.2899,10.4996,22.2599,18.4808,14.6265
1031.0,965995200,10.2899,10.4996,10.5695,18.4808,14.6265,11.2432
1032.0,965996100,10.4996,10.5695,10.4996,14.6265,11.2432,8.33098
1033.0,965997000,10.5695,10.4996,10.2899,11.2432,8.33098,5.88986
1034.0,965997900,10.4996,10.2899,9.08056,8.33098,5.88986,4.23103
1035.0,965998800,10.2899,9.08056,8.30463,5.88986,4.23103,2.83579
1036.0,965999700,9.08056,8.30463,7.9621,4.23103,2.83579,1.70416
1037.0,966000600,8.30463,7.9621,8.05297,2.83579,1.70416,0.83613
1038.0,966001500,7.9621,8.05297,9.77262,1.70416,0.83613,0.54871
1039.0,966002400,8.05297,9.77262,11.1288,0.83613,0.54871,0.31355
1040.0,966003300,9.77262,11.1288,12.1214,0.54871,0.31355,0.13065
1041.0,966004200,11.1288,12.1214,12.7505,0.31355,0.13065,0.0
1042.0,966005100,12.1214,12.7505,12.4919,0.13065,0.0,0.0
1043.0,966006000,12.7505,12.4919,12.2193,0.0,0.0,0.0
1044.0,966006900,12.4919,12.2193,11.9327,0.0,0.0,0.0
1045.0,966007800,12.2193,11.9327,11.6321,0.0,0.0,0.0
1046.0,966008700,11.9327,11.6321,11.0449,0.0,0.0,0.0
1047.0,966009600,11.6321,11.0449,10.6254,0.0,0.0,0.0
1048.0,966010500,11.0449,10.6254,10.3738,0.0,0.0,0.0
1049.0,966011400,10.6254,10.3738,10.2899,0.0,0.0,0.0
1050.0,966012300,10.3738,10.2899,10.982,0.0,0.0,0.0
1051.0,966013200,10.2899,10.982,11.4363,0.0,0.0,0.0
1052.0,966014100,10.982,11.4363,11.653,0.0,0.0,0.0
1053.0,966015000,11.4363,11.653,11.6321,0.0,0.0,0.0
1054.0,966015900,11.653,11.6321,10.7862,0.0,0.0,0.0
1055.0,966016800,11.6321,10.7862,10.0942,0.0,0.0,0.0
1056.0,966017700,10.7862,10.0942,9.55591,0.0,0.0,0.0
1057.0,966018600,10.0942,9.55591,9.17144,0.0,0.0,0.0
1058.0,966019500,9.55591,9.17144,9.48601,0.0,0.0,0.0
1059.0,966020400,9.17144,9.48601,9.59086,0.0,0.0,0.0
1060.0,966021300,9.48601,9.59086,9.48601,0.0,0.0,0.0
1061.0,966022200,9.59086,9.48601,9.17144,0.0,0.0,0.0
1062.0,966023100,9.48601,9.17144,8.01802,0.0,0.0,0.0
1063.0,966024000,9.17144,8.01802,7.07431,0.0,0.0,0.0
1064.0,966024900,8.01802,7.07431,6.34032,0.0,0.0,0.0
1065.0,966025800,7.07431,6.34032,5.81603,0.0,0.0,0.0
1066.0,966026700,6.34032,5.81603,5.92089,0.0,0.0,0.0
1067.0,966027600,5.81603,5.92089,5.95584,0.0,0.0,0.0
1068.0,966028500,5.92089,5.95584,5.92089,0.0,0.0,0.0
1069.0,966029400,5.95584,5.92089,5.81603,0.0,0.0,0.0
1070.0,966030300,5.92089,5.81603,5.3267,0.0,0.0,0.0
1071.0,966031200,5.81603,5.3267,4.97718,0.0,0.0,0.0
1072.0,966032100,5.3267,4.97718,4.76747,0.0,0.0,0.0
1073.0,966033000,4.97718,4.76747,4.69757,0.0,0.0,0.0
1074.0,966033900,4.76747,4.69757,5.1869,0.0,0.0,0.0
1075.0,966034800,4.69757,5.1869,5.53642,0.0,0.0,0.0
1076.0,966035700,5.1869,5.53642,5.74613,0.0,0.0,0.57065
1077.0,966036600,5.53642,5.74613,5.81603,0.0,0.57065,1.99659
1078.0,966037500,5.74613,5.81603,5.11699,0.57065,1.99659,5.31953
1079.0,966038400,5.81603,5.11699,4.69757,1.99659,5.31953,8.40758
1080.0,966039300,5.11699,4.69757,4.55776,5.31953,8.40758,11.2607
1081.0,966040200,4.69757,4.55776,4.69757,8.40758,11.2607,13.879
1082.0,966041100,4.55776,4.69757,5.95584,11.2607,13.879,15.548
1083.0,966042000,4.69757,5.95584,6.9345,13.879,15.548,17.4584
1084.0,966042900,5.95584,6.9345,7.63355,15.548,17.4584,19.6101
1085.0,966043800,6.9345,7.63355,8.05297,17.4584,19.6101,22.0031
1086.0,966044700,7.63355,8.05297,7.6685,19.6101,22.0031,26.7842
1087.0,966045600,8.05297,7.6685,7.35393,22.0031,26.7842,30.3754
1088.0,966046500,7.6685,7.35393,7.10926,26.7842,30.3754,32.7768
1089.0,966047400,7.35393,7.10926,6.9345,30.3754,32.7768,33.9882
1090.0,966048300,7.10926,6.9345,6.9345,32.7768,33.9882,30.2239
1091.0,966049200,6.9345,6.9345,6.9345,33.9882,30.2239,27.7936
1092.0,966050100,6.9345,6.9345,6.9345,30.2239,27.7936,26.6974
1093.0,966051000,6.9345,6.9345,6.9345,27.7936,26.6974,26.9353
1094.0,966051900,6.9345,6.9345,6.82965,26.6974,26.9353,28.8791
1095.0,966052800,6.9345,6.82965,6.79469,26.9353,28.8791,31.9091
1096.0,966053700,6.82965,6.79469,6.82965,28.8791,31.9091,36.0252
1097.0,966054600,6.79469,6.82965,6.9345,31.9091,36.0252,41.2276
1098.0,966055500,6.82965,6.9345,7.52869,36.0252,41.2276,52.0902
1099.0,966056400,6.9345,7.52869,7.91316,41.2276,52.0902,60.9896
1100.0,966057300,7.52869,7.91316,8.08792,52.0902,60.9896,67.9258
1101.0,966058200,7.91316,8.08792,8.05297,60.9896,67.9258,72.8987
1102.0,966059100,8.08792,8.05297,6.73877,67.9258,72.8987,76.3675
1103.0,966060000,8.05297,6.73877,5.92788,72.8987,76.3675,77.567
1104.0,966060900,6.73877,5.92788,5.6203,76.3675,77.567,76.4972
1105.0,966061800,5.92788,5.6203,5.81603,77.567,76.4972,73.1581
1106.0,966062700,5.6203,5.81603,7.94112,76.4972,73.1581,60.5939
1107.0,966063600,5.81603,7.94112,9.61883,73.1581,60.5939,50.3976
1108.0,966064500,7.94112,9.61883,10.8491,60.5939,50.3976,42.5691
1109.0,966065400,9.61883,10.8491,11.6321,50.3976,42.5691,37.1086
1110.0,966066300,10.8491,11.6321,11.0449,42.5691,37.1086,38.5738
1111.0,966067200,11.6321,11.0449,10.6254,37.1086,38.5738,39.3683
1112.0,966068100,11.0449,10.6254,10.3738,38.5738,39.3683,39.4922
1113.0,966069000,10.6254,10.3738,10.2899,39.3683,39.4922,38.9453
1114.0,966069900,10.3738,10.2899,10.6464,39.4922,38.9453,36.7557
1115.0,966070800,10.2899,10.6464,10.9889,38.9453,36.7557,34.5434
1116.0,966071700,10.6464,10.9889,11.3175,36.7557,34.5434,32.3085
1117.0,966072600,10.9889,11.3175,11.6321,34.5434,32.3085,30.051
1118.0,966073500,11.3175,11.6321,12.3521,32.3085,30.051,27.4364
1119.0,966074400,11.6321,12.3521,12.7785,30.051,27.4364,25.0221
1120.0,966075300,12.3521,12.7785,12.9113,27.4364,25.0221,22.808
1121.0,966076200,12.7785,12.9113,12.7505,25.0221,22.808,20.7941
1122.0,966077100,12.9113,12.7505,11.5202,22.808,20.7941,19.534
1123.0,966078000,12.7505,11.5202,10.5136,20.7941,19.534,18.105
1124.0,966078900,11.5202,10.5136,9.73067,19.534,18.105,16.5073
1125.0,966079800,10.5136,9.73067,9.17144,18.105,16.5073,14.7408
1126.0,966080700,9.73067,9.17144,9.17144,16.5073,14.7408,12.2493
1127.0,966081600,9.17144,9.17144,9.17144,14.7408,12.2493,9.95983
1128.0,966082500,9.17144,9.17144,9.17144,12.2493,9.95983,7.87232
1129.0,966083400,9.17144,9.17144,9.17144,9.95983,7.87232,5.9868
1130.0,966084300,9.17144,9.17144,8.94075,7.87232,5.9868,4.13206
1131.0,966085200,9.17144,8.94075,8.86386,5.9868,4.13206,2.59344
1132.0,966086100,8.94075,8.86386,8.94075,4.13206,2.59344,1.37092
1133.0,966087000,8.86386,8.94075,9.17144,2.59344,1.37092,0.46452
1134.0,966087900,8.94075,9.17144,10.1431,1.37092,0.46452,0.30484
1135.0,966088800,9.17144,10.1431,10.8771,0.46452,0.30484,0.17419
1136.0,966089700,10.1431,10.8771,11.3734,0.30484,0.17419,0.07258
1137.0,966090600,10.8771,11.3734,11.6321,0.17419,0.07258,0.0
1138.0,966091500,11.3734,11.6321,11.0449,0.07258,0.0,0.0
1139.0,966092400,11.6321,11.0449,10.6254,0.0,0.0,0.0
1140.0,966093300,11.0449,10.6254,10.3738,0.0,0.0,0.0
1141.0,966094200,10.6254,10.3738,10.2899,0.0,0.0,0.0
1142.0,966095100,10.3738,10.2899,10.8771,0.0,0.0,0.0
1143.0,966096000,10.2899,10.8771,11.2965,0.0,0.0,0.0
